Заточка цепи; 150р
Замена свечи зажигания; 250р
Замена ключевых подшипников; 460р
Замена топливного фильтра; 250р
Замена воздушного фильтра; 200р
Замена стартера; 560р
Замена натяжителя цепи; 310р
Замена сцепления; 300р
Замена глушителя; 450р
Ремонт системы зажигания; 950р
Замена цилиндро-поршневой группы; от 1080р
Ремонт двигателя; от 1080р
Замена картера; от 500р
Замена карбюратора и регулировка; от 480
Замена топливного бака; 600р
Замена праймера подкачки топлива; от 100р
Замена амортизаторов; от 100р
Замена ведущей звездочки; 500р
Замена крышки тормоза; от 280
Замена маслонасоса; от500р
Замена маслопровода/фильтра; 500р
Замена натяжителя цепи; 300р
Замена муфты сцепления; 400р
Замена топливного шланга; от 380
Замена курка/блокиратора газа; от 380р
Замена глушителя; от 290р
