Диагностика; 260
Замена щеток, шнура и т.п.; 260
Замена выключателя, блока электроники и т.п.; 390
Замена элементов редуктора; 520
Замена статора или ротора; 650
Профилактика (чистка, продувка, замена смазки); 260
Замена регулятора оборотов; 400
Замена щеток; 150-250
Замена подшипника ротора; 600
Замена ротора; 500-600
Замена статора; 500-700
Замена шестерни/шпинделя редуктора; 600-800
Замена подшипника редуктора; 600-800
Замена редуктора в сборе; 300
Смазка редуктора; 200
Замена стопора шпинделя; 350
Замена корпуса электромотора; 600-700
Замена корпуса редуктора; 550-750
