Замена свечи зажигания; 150
Замена воздушного фильтра; 250
Замена топливного фильтра; 250
Замена карбюратора; 700
Чистка и регулировка карбюратора; 800
Замена педали тормаза; 990
Замена ступицы колеса; 1000
Замена ремня деки; 800
Замена катушки зажигания; 900
Замена ролика хода; 900
Ремонт двигателя; от 1200
Ремонт коробки передач; от 1400
Замена топливного шланга; 500
Замена ремня привода ножа; 1300
Регулировка оборотов; 700
Замена рулевой тяги; от 1200
Ремонт топливной системы; от 800
Ремонт электропроводки; от 1200
