Диагностика; 260
Замена щеток, шнура и т.п.; 260
Замена выключателя, блока электроники и т.п.; 390
Замена элементов редуктора; 520
Замена статора или ротора; 650
Профилактика (чистка, продувка, замена смазки); 260
Замена регулятора оборотов; 400
Замена подшипника ротора; 600
Замена шестерни/шпинделя редуктора; от 600
Замена подшипника редуктора; от 600
Замена редуктора в сборе; 300
Смазка редуктора; 200
Замена стопора шпинделя; 350
Замена корпуса электромотора; от 600
Замена корпуса редуктора; от 550
